txn_date,description,merchant,amount,txn_type,balance
2026-01-13,UBER RIDE,Uber,175,DEBIT,66831
2026-01-13,DINNER ORDER,Swiggy,680,DEBIT,66151
2026-01-14,GROCERY DELIVERY,Instamart,1180,DEBIT,64971
2026-01-14,COFFEE,Cafe Coffee Day,320,DEBIT,64651
2026-01-14,OLA RIDE,Ola,135,DEBIT,64516
2026-01-14,SHOPPING,Myntra,2299,DEBIT,62217
2026-01-15,FREELANCE PROJECT,Client XYZ,15000,CREDIT,77217
2026-01-15,LUNCH,The Bombay Canteen,1450,DEBIT,75767
2026-01-15,UBER RIDE,Uber,195,DEBIT,75572
2026-01-15,DINNER,Mainland China,1350,DEBIT,74222
2026-01-16,GROCERY,Big Basket,1750,DEBIT,72472
2026-01-16,BREAKFAST ORDER,Zomato,420,DEBIT,72052
2026-01-16,MOBILE RECHARGE,Airtel,599,DEBIT,71453
2026-01-16,DINNER ORDER,Swiggy,750,DEBIT,70703
2026-01-17,STOCK PURCHASE,Zerodha,5000,DEBIT,65703
2026-01-17,BREAKFAST,Starbucks,385,DEBIT,65318
2026-01-17,LUNCH ORDER,Zomato,580,DEBIT,64738
2026-01-17,UBER RIDE,Uber,185,DEBIT,64553
2026-01-17,MOVIE TICKETS,BookMyShow,800,DEBIT,63753
2026-01-18,GROCERY DELIVERY,Zepto,980,DEBIT,62773
2026-01-18,COFFEE,Starbucks,380,DEBIT,62393
2026-01-18,LUNCH,Burger King,495,DEBIT,61898
2026-01-18,DINNER ORDER,Zomato,720,DEBIT,61178
2026-01-19,BREAKFAST,Starbucks,420,DEBIT,60758
2026-01-19,OLA RIDE,Ola,145,DEBIT,60613
2026-01-19,LUNCH ORDER,Swiggy,650,DEBIT,59963
2026-01-19,SHOPPING,Amazon,1899,DEBIT,58064
2026-01-20,BREAKFAST ORDER,Zomato,380,DEBIT,57684
2026-01-20,LUNCH,McDonald's,450,DEBIT,57234
2026-01-20,RAPIDO RIDE,Rapido,95,DEBIT,57139
2026-01-20,GROCERY,DMart,1650,DEBIT,55489
